id,input_text,expected_slug,case_type,prior_messages,active_slug
73,Apply peer multiples valuation to this company,multiples_valuer,freeform,,
74,Quantify the acquisition synergies,synergy_analyst,freeform,,
75,Audit the virtual data room for missing documents,vdr_auditor,freeform,,
76,Create a contract abstract for this MSA,contract_abstractor,freeform,,
77,Perform a legal review of litigation and regulatory consents,legal_reviewer,freeform,,
78,Perform operational diligence and a working capital review,operational_dd,freeform,,
79,Assess the ESG risks and environmental liabilities,esg_reviewer,freeform,,
80,Draft an investment committee memo,ic_memo_writer,freeform,,
81,Draft a blind teaser for the sale process,teaser_designer,freeform,,
82,Design the bid structure including an earnout,bid_strategist,freeform,,
83,Is this business ready for an IPO,ipo_readiness,freeform,,
84,Score the match between this buyer and target,match_scorer,freeform,,
85,Do deep research on the European market,research_analyst,freeform,,
86,Use Hermes for a second opinion on the thesis,hermes_orchestrator,freeform,,
87,Create the post-close integration and 100-day plan,integration_planner,freeform,,
88,Show recent hedge fund holdings and 13F changes,hedge_fund_analyst,freeform,,
89,Analyze the latest SEC filing and 10-K,filing_analyst,freeform,,
90,Analyze recent GlobeNewswire press releases,press_release_analyst,freeform,,
91,Compare reverse mergers with de-SPAC transactions,reverse_merger_analyst,freeform,,
92,Does this material event require disclosure under Reg FD,ir_triage,freeform,,
93,Draft a press release for the new CEO,press_release_writer,freeform,,
94,Run a compliance review for selective disclosure,ir_compliance,freeform,,
95,Finalize and publish the approved wire-ready release,ir_publish,freeform,,
96,Build the wire service and exchange distribution plan,ir_distribute,freeform,,
97,"5 employees, no other restriction",target_scanner,context,"vertical SaaS in Lithuania||EUR 200k revenue and above, family or founder owned||the Baltics, accounting SaaS",target_scanner
98,Only founder-owned and return three maximum,target_scanner,context,"Find accounting SaaS companies in the Baltics",target_scanner
99,Also exclude sponsor-backed assets,buyer_scanner,context,"Find strategic buyers for a Baltic software company",buyer_scanner
100,Use a 9 percent WACC instead,dcf_valuer,context,"Build a DCF for Enefit Green",dcf_valuer
